Source,Target,Type,id,label,timeset,weight
1,2,Undirected,0,,,8.0
1,3,Undirected,1,,,3.0
1,4,Undirected,2,,,3.0
1,5,Undirected,3,,,3.0
1,6,Undirected,4,,,12.0
6,7,Undirected,5,,,10.0
6,8,Undirected,6,,,12.0
6,9,Undirected,7,,,12.0
6,10,Undirected,8,,,10.0
6,11,Undirected,9,,,10.0
6,12,Undirected,10,,,10.0
6,13,Undirected,11,,,10.0
6,14,Undirected,12,,,10.0
6,15,Undirected,13,,,10.0
6,16,Undirected,14,,,10.0
6,17,Undirected,15,,,10.0
6,18,Undirected,16,,,10.0
6,19,Undirected,17,,,10.0
6,20,Undirected,18,,,10.0
6,21,Undirected,19,,,10.0
6,22,Undirected,20,,,10.0
6,23,Undirected,21,,,10.0
6,24,Undirected,22,,,10.0
6,25,Undirected,23,,,10.0
6,26,Undirected,24,,,10.0
6,27,Undirected,25,,,10.0
6,28,Undirected,26,,,10.0
6,29,Undirected,27,,,10.0
6,30,Undirected,28,,,10.0
6,31,Undirected,29,,,10.0
6,32,Undirected,30,,,10.0
6,33,Undirected,31,,,10.0
6,34,Undirected,32,,,10.0
6,35,Undirected,33,,,10.0
6,36,Undirected,34,,,10.0
6,37,Undirected,35,,,10.0
6,38,Undirected,36,,,10.0
6,39,Undirected,37,,,10.0
6,40,Undirected,38,,,10.0
6,41,Undirected,39,,,10.0
6,42,Undirected,40,,,10.0
6,43,Undirected,41,,,10.0
6,44,Undirected,42,,,10.0
6,45,Undirected,43,,,10.0
6,46,Undirected,44,,,10.0
6,47,Undirected,45,,,10.0
6,48,Undirected,46,,,10.0
6,49,Undirected,47,,,10.0
6,50,Undirected,48,,,10.0
6,51,Undirected,49,,,10.0
6,52,Undirected,50,,,10.0
6,53,Undirected,51,,,10.0
6,54,Undirected,52,,,10.0
6,55,Undirected,53,,,10.0
6,56,Undirected,54,,,10.0
6,57,Undirected,55,,,10.0
6,58,Undirected,56,,,10.0
6,59,Undirected,57,,,10.0
6,60,Undirected,58,,,10.0
6,61,Undirected,59,,,10.0
6,62,Undirected,60,,,10.0
6,63,Undirected,61,,,10.0
6,64,Undirected,62,,,10.0
6,65,Undirected,63,,,10.0
6,66,Undirected,64,,,10.0
6,67,Undirected,65,,,12.0
6,68,Undirected,66,,,14.0
6,69,Undirected,67,,,10.0
6,70,Undirected,68,,,11.0
70,71,Undirected,69,,,10.0
72,73,Undirected,70,,,12.0
72,74,Undirected,71,,,5.0
72,75,Undirected,72,,,5.0
72,76,Undirected,73,,,5.0
77,78,Undirected,74,,,7.0
78,79,Undirected,75,,,7.0
79,77,Undirected,76,,,7.0
80,81,Undirected,77,,,4.0
80,82,Undirected,78,,,4.0
81,82,Undirected,79,,,4.0
82,81,Undirected,80,,,4.0
77,83,Undirected,81,,,5.0
78,83,Undirected,82,,,5.0
79,83,Undirected,83,,,5.0
83,84,Undirected,84,,,7.0
83,85,Undirected,85,,,7.0
83,86,Undirected,86,,,7.0
87,88,Undirected,87,,,8.0
88,87,Undirected,88,,,8.0
87,1,Undirected,89,,,5.0
87,2,Undirected,90,,,5.0
87,3,Undirected,91,,,5.0
87,4,Undirected,92,,,5.0
87,5,Undirected,93,,,5.0
87,6,Undirected,94,,,5.0
88,1,Undirected,95,,,5.0
88,2,Undirected,96,,,5.0
88,3,Undirected,97,,,5.0
88,4,Undirected,98,,,5.0
88,5,Undirected,99,,,5.0
88,6,Undirected,100,,,5.0
89,90,Undirected,101,,,6.0
90,91,Undirected,102,,,6.0
91,92,Undirected,103,,,6.0
90,89,Undirected,104,,,6.0
91,90,Undirected,105,,,6.0
92,91,Undirected,106,,,6.0
89,21,Undirected,107,,,4.0
89,31,Undirected,108,,,4.0
89,30,Undirected,109,,,4.0
90,21,Undirected,110,,,4.0
90,30,Undirected,111,,,4.0
90,31,Undirected,112,,,4.0
91,21,Undirected,113,,,4.0
91,30,Undirected,114,,,4.0
91,31,Undirected,115,,,4.0
92,21,Undirected,116,,,4.0
92,30,Undirected,117,,,4.0
92,31,Undirected,118,,,4.0
7,8,Undirected,119,,,4.0
7,9,Undirected,120,,,4.0
7,10,Undirected,121,,,4.0
7,11,Undirected,122,,,4.0
7,12,Undirected,123,,,4.0
7,13,Undirected,124,,,4.0
