"bam_id","abbreviation","author_latin","author_certain","dump_id","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","start","end","century","century_start","century_end","century_certain","century_marker","date_of_birth","date_of_birth_start","date_of_birth_end","date_of_birth_certain","date_of_birth_marker","date_of_death","date_of_death_start","date_of_death_end","date_of_death_certain","date_of_death_marker","floruit","floruit_final","floruit_end","floruit_certain","floruit_marker","late_antique","christian","reprlat","reprlong"
"1000","Isid(Ps).","Isidorus Hispalensis (Ps)","\N","3155","\N","\N","\N","\N","1/1/601","12/31/700","CE 7","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","\N","\N"
"1001","Itin.Hier.","Itinerarium Hierosolymitanumäó_x008f_","\N","3234","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1002","Iub.","Iuba","\N","3236","\N","\N","\N","\N","1/1/201","12/31/300","CE 3","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1003","Iub.II.","Iuba II","\N","3237","\N","\N","\N","\N","1/1/-100","12/31/100","BCE 1-CE 1","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1004","Pomer.","Iulianus Pomerius","\N","4259","\N","Toledo, Spain","Toletum, Hispania Tarraconensis","266066","1/1/401","12/31/500","CE 5","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","Y","39.856679999999997","-4.0244910000000003"
"1005","Iul.Tol.","Iulianus Toletanus","\N","3254","Julian of Toledo","Toledo, Spain","Toletum, Hispania","266066","1/1/601","12/31/700","CE 7","\N","\N","t","\N","CE 642","\N","\N","\N","\N","CE 690","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","39.856679999999997","-4.0244910000000003"
"1006","Iul.Aqui.","Iulius Aquila","\N","3239","Iulius Aquila","Rome, Italy","Roma, Italia","423025","1/1/101","12/31/200","CE 2","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","c. CE 193-198","\N","\N","\N","\N","N","N","41.891737499999998","12.4861685"
"1007","Iul.Ath.","Iulius Atherianus","\N","3240","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1008","Iul.Exup.","Iulius Exuperantius","\N","3241","\N","\N","\N","\N","1/1/401","12/31/500","CE 5","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","fl.c.400","\N","\N","\N","\N","Y","\N","\N","\N"
"1009","Hilarian.","Iulius Hilarianus","\N","3017","\N","Unknown","Unknown"," ","1/1/301","12/31/400","CE 4","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","Y","\N","\N"
"101","Abd.","Abdias","\N","102","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","Y","\N","\N"
"1010","Iul.I.","Iulius I","\N","3242","\N","Rome, Italy","Roma, Italia","423025","1/1/301","12/31/400","CE 4","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","Y","41.891737499999998","12.4861685"
"1011","Iul.I.(Ps).","Iulius I (Incertus)","\N","3243","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","\N","\N"
"1012","Mar.Iul.","Iulius Marathus","\N","3584","\N","\N","\N","\N","1/1/-100","12/31/100","BCE 1- CE 1","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1013","Modest.","Iulius Modestus","\N","3728","\N","\N","\N","\N","1/1/1","12/31/100","CE 1","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","N","N","\N","\N"
"1014","Mont.","Iulius Montanus","\N","3734","\N","Rome, Italy","Roma, Italia","423025","1/1/1","12/31/100","CE 1","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","N","N","41.891737499999998","12.4861685"
"1015","Iul.Obs.","Iulius Obsequens","\N","3244","\N","Unknown","Unknown"," ","1/1/301","12/31/400","CE 4","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","Y","\N","\N"
"1016","Iul.P.","Iulius Paris","\N","3245","\N","Unknown","Unknown"," ","1/1/301","12/31/400","CE 4","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","N","\N","\N"
"1017","Iul.Rom.","Iulius Romanus","\N","3246","\N","\N","\N","\N","1/1/201","12/31/300","CE 3","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1018","Iul.Ruf.","Iulius Rufinianus ","\N","3247","\N","\N","\N","\N","1/1/301","12/31/400","CE 4","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1019","Iul.Ruf(Ps.).","Iulius Rufinianus (Ps.)","\N","3248","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"102","Ablab.","Ablabius ","\N","110","\N","\N","\N","\N","1/1/301","12/31/400","CE 4","\N","\N","t","\N","\N","\N","\N","\N","\N","CE 338","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1020","Iul.Sat.","Iulius Saturninus","\N","3251","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1021","Iul.S.","Iulius Seuerianus","\N","3250","\N","Unknown","Unknown"," ","1/1/401","12/31/500","CE 5","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","N","\N","\N"
"1022","Iul.Sev.","Iulius Severus","\N","3252","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1023","Iul.V.","Iulius Valerius Alexander Polemius","\N","3257","\N","Unknown","Unknown"," ","1/1/301","12/31/400","CE 4","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","N","\N","\N"
"1024","Iul.Vic.","Iulius Victor","\N","3259","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1025","Iunil.","Iunilius Africanus","\N","3262","\N","Istanbul, Turkey / North Africa","Constantinopolis, Thracia / Africa","520985 / 775","1/1/501","12/31/600","CE 6","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","541–549","\N","\N","\N","\N","Y","Y","\N","\N"
"1026","Maur. ","Iunius Mauricianus","\N","3649","Mauricianus","Rome, Italy","Roma, Italia","423025","1/1/101","12/31/200","CE 2","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","c. CE 138-161","\N","\N","\N","\N","N","N","41.891737499999998","12.4861685"
"1027","Iust.","Iustinianus I Augustus","\N","3264","\N","Istanbul, Turkey","Constantinopolis, Thracia","520985","1/1/501","12/31/600","CE 6","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","Y","41.005901999999999","28.973881500000001"
"1028","Ius.","Iustinus","\N","3263","\N","Unknown","Unknown"," ","1/1/201","12/31/300","CE 3","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","N","\N","\N"
"1029","Iust.-Urg.","Iustus Urgellensis","\N","3272","\N","Le Seu d'Urgell, Spain","Urgellum, Hispania Tarraconensis","246718","1/1/501","12/31/600","CE 6","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","Y","42.356296999999998","1.459471"
"103","Val.","Aburnus Valens","\N","5136","Valens","Sabina, Italy","Sabinium, Italia","423028","1/1/101","12/31/200","CE 2","\N","\N","t","\N","CE 100","\N","\N","\N","\N","\N","\N","\N","\N","\N","CE 117-161?","\N","\N","\N","\N","N","N","41.875","12.625"
"1030","Iuvc(Ps).","Iuvencus (Caius Vettius Aquilinus) (Ps)","\N","3280","Iuvencus, Ps","Spain","Hispaniae","992072","1/1/301","12/31/400","CE 4","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","c. CE 330","\N","\N","\N","\N","Y","Y","37.5","-7.5"
"1031","Iuvc(Ps).","Iuvencus, Ps.","\N","3281","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","Y","\N","\N"
"1032","Iuvent.","Iuventius","\N","3284","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1033","Iuventius.","Iuventius Laterensis, Marcus","\N","3286","\N","Rome, Italy","Roma, Italia","423025","1/1/-100","12/31/-1","BCE 1","\N","\N","t","\N","\N","\N","\N","\N","\N","BCE 43","\N","\N","\N","\N","\N","\N","\N","\N","\N","N","N","41.891737499999998","12.4861685"
"1034","Iuv.Mart.","Iuventius Martialis","\N","3277","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1035","Iuv.Com.","Iuventius comicus","\N","3276","\N","\N","\N","\N","1/1/-200","12/31/-101","BCE 2","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1036","Agrip.Min.","Julia Agrippina Claudi","\N","277","Agrippina the Younger","Rome, Italy","Roma, Italia","423025","1/1/1","12/31/100","CE 1","\N","\N","t","\N","c. CE 14-16","\N","\N","\N","\N","CE 59","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","41.891737499999998","12.4861685"
"1037","Paul.","Julius Paulus Prudentissimus","\N","4009","Paulus","Padua, Italy?","Patavium?","393473","1/1/101","12/31/300","CE 2-3","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","198-235?","\N","\N","\N","\N","N","N","45.409560999999997","11.876975"
"1038","Arrun.","L. Arruntius","\N","615","\N","\N","\N","\N","1/1/-100","12/31/-1","BCE 1","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","c. BCE 22","\N","\N","\N","\N","\N","\N","\N","\N"
"1039","Philol.","L. Ateius Philologus","\N","4140","\N","\N","\N","\N","1/1/-100","12/31/-1","BCE 1","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"104","Acc.","Accius, Lucius","\N","112","\N","Rome, Italy","Roma, Italia","423025","1/1/-200","12/31/1","BCE 2-1","\N","\N","t","\N","BCE 170","\N","\N","\N","\N","c. BCE 86","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","41.891737499999998","12.4861685"
"1040","Lactant(Ps).","L. Caecilius Firmianus Lactantius (pseudo)","\N","3380","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1041","Lic.Lucull.","L. Licinius Lucullus","\N","3437","\N","\N","\N","\N","1/1/-100","12/31/-1","BCE 1","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","c. BCE 74-66","\N","\N","\N","\N","\N","\N","\N","\N"
"1042","Lucc.","L. Lucceius","\N","3486","\N","Rome, Italy","Roma, Italia","423025","1/1/-100","12/31/-1","BCE 1","\N","\N","t","\N","\N","\N","\N","\N","\N","c. BCE 69-60","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","41.891737499999998","12.4861685"
"1043","Libo.","L. Scribonius Libo","\N","3435","\N","\N","\N","\N","1/1/-100","12/31/-1","BCE 1","\N","\N","t","\N","c. BCE 90","\N","\N","\N","\N","\N","\N","\N","\N","\N","c. BCE 49-34","\N","\N","\N","\N","\N","\N","\N","\N"
"1044","Lact(Ps).","Lactantius (Incertus)","\N","3366","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","\N","\N"
"1045","Lac.Plac.","Lactantius Placidus","\N","3364","\N","Unknown","Unknown"," ","1/1/301","12/31/400","CE 4","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","\N","\N","\N"
"1046","Lael.Fel.","Laelius Felix","\N","3383","\N","\N","\N","\N","1/1/101","12/31/200","CE 2","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","N","N","\N","\N"
"1047","Lael.Herm.","Laelius Hermas","\N","3384","\N","\N","\N","\N","1/1/-100","12/31/-1","BCE 1","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1048","Laev.","Laevius","\N","3385","\N","\N","\N","\N","1/1/-200","12/31/1","BCE 2-1","\N","\N","t","\N","\N","\N","\N","\N","\N","c. BCE 80","\N","\N","\N","\N","\N","\N","\N","\N","\N","N","N","\N","\N"
"1049","Las.","Laserpiciarius","\N","3391","\N","Rome","Roma","423025",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","41.891737499999998","12.4861685"
"105","Ach.","Achilleus Spoletanus","\N","169","\N","\N","\N","\N","1/1/401","12/31/500","CE 5","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1050","Lat.Ver.","Laterculus Veronensis","\N","3393","\N","\N","\N","\N","1/1/-400","12/31/-201","BCE 3-4","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1051","Lath.","Lathcen","\N","3394","Laidcenn mac Buith Bannaig","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","CE 661","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1052","Pacat.","Latinus Pacatus Drepanius","\N","3955","\N","Bordeaux, France","Burdigala, Aquitania","138248","1/1/301","12/31/400","CE 4","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","N","44.842511250000001","-0.57984950000000002"
"1053","Laud.Eun","Laudes Eunomiae","\N","3396","\N","\N","\N","\N",,,"\N","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"1054","Laurent.","Laurentius Novariensis","\N","3398","\N","Novara, Italy","Novaria, Italia","383717","1/1/401","12/31/500","CE 5","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","Y","45.445081999999999","8.6186609999999995"
"1055","Leand.","Leandrus Hispalensis","\N","3402","\N","Seville, Spain","Hispalis, Hispania Baetica","256210","1/1/501","12/31/600","CE 6","\N","\N","t","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Y","Y","37.382668000000002","-5.9962929999999997"
"1056","Leg.Ang.","Leges Anglorum ","\N","3405","\N","\N","\N","\N","1/1/501","12/31/700","CE 6-7","\N","\N","t","\N","CE 560","\N","\N","\N","\N","CE 616","\N","\N","\N","\N","c. CE 589-616","\N","\N","\N","\N","Y","\N","\N","\N"
