"bam_id","abbreviation","label","author_latin","author_certain","dump_id","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","x","y","century","start1","start2","start3","start4","start","startb","end2","end","century_certain","date_of_birth","date_of_birth_start",,"date_of_birth_end","date_of_birth_certain","date_of_death","date_of_death_start","date_of_death_end","date_of_death_certain","date_of_death_marker","floruit","floruit_start","floruit_end","floruit_certain","floruit_marker","late_antique","christian"
"1205","Vitruv.","Marcus Vitruvius Pollio","Marcus Vitruvius Pollio",,"5347","Vitruvius","Unknown","Unknown"," ",,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","c. BCE 80",-80,"1/1/-80",-80,"f","c. BCE 20",-20,-20,"f",,,,,,,"N","N"
"248","Ant.Mus.","Antonius Musa","Antonius Musa",,"500",,"Unknown","Unknown"," ",,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","?",,"1/1/",,,,,,,,"BCE 23 (?CERL)","1/1/-23","12/31/-23","f",,,"N"
"161","Pedo.","Albinovanus Pedo","Albinovanus Pedo",,"4093",,"Unknown","Unknown"," ",,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","?",,"1/1/",,,,,,,,"?",,,,,"N","N"
"359","Aul.Gel.","Aulus Gellius","Aulus Gellius",,"950",,"Unknown","Unknown"," ",,,"CE 2","101",1,1,101,"1/1/101","0101-01-01","200","12/31/200","t","CE 123",123,"1/1/123",123,,"c. CE 165",165,165,"f",,,,,,,,
"782","Flor.","Florus, Lucius/Publius Annius","Florus, Lucius/Publius Annius",,"2447",,"Unknown","Unknown"," ",,,"CE 2","101",1,1,101,"1/1/101","0101-01-01","200","12/31/200","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"266","Aqui.","Aquila Romanus","Aquila Romanus",,"587",,"Unknown","Unknown"," ",,,"CE 3","201",1,1,201,"1/1/201","0201-01-01","300","12/31/300","t","?",,"1/1/",,,,,,,,"a. CE 250","1/1/251","12/31/300","f",,"Y","N"
"833","Solin.","Gaius Iulius Solinus","Gaius Iulius Solinus",,"4829",,"Unknown","Unknown"," ",,,"CE 3","201",1,1,201,"1/1/201","0201-01-01","300","12/31/300","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"1028","Ius.","Iustinus","Iustinus",,"3263",,"Unknown","Unknown"," ",,,"CE 3","201",1,1,201,"1/1/201","0201-01-01","300","12/31/300","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"1183","Iustin.","Marcus Iunianus Iustinus","Marcus Iunianus Iustinus",,"3274",,"Unknown","Unknown"," ",,,"CE 3","201",1,1,201,"1/1/201","0201-01-01","300","12/31/300","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"1491","Ps.-Cypr.","Pseudo Cyprianus","Pseudo Cyprianus",,"4484",,"Unknown","Unknown"," ",,,"CE 3","201",1,1,201,"1/1/201","0201-01-01","300","12/31/300","t",,,"1/1/",,,,,,,,,,,,,,"Y"
"1104","Amp.","Lucius Ampelius","Lucius Ampelius",,"423",,"Unknown","Unknown"," ",,,"CE 3-4 ","201",1,1,201,"1/1/201","0201-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"1523","Veg.","Publius/Flavius Vegetius Renatus","Publius/Flavius Vegetius Renatus",,"5218","Vegetius","Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,"c. CE 390","1/1/390","12/31/390","f",,"Y",
"454","Candid.","Candidus Arianus","Candidus Arianus",,"1318",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,"350-c. CE 372","1/1/350","12/31/372","f",,"Y","Y"
"221","Asc.","Anonymous","Anonymous",,"622",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"241","Anon.Val.","Anonymus Valesianus","Anonymus Valesianus",,"494",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"373","Ps.Aur.Vic.","Aurelius Victor Ps.","Aurelius Victor Ps.",,"4505",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"823","Philoc.","Furius Dionysius Philocalus","Furius Dionysius Philocalus",,"4139",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1009","Hilarian.","Iulius Hilarianus","Iulius Hilarianus",,"3017",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1015","Iul.Obs.","Iulius Obsequens","Iulius Obsequens",,"3244",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1016","Iul.P.","Iulius Paris","Iulius Paris",,"3245",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"1023","Iul.V.","Iulius Valerius Alexander Polemius","Iulius Valerius Alexander Polemius",,"3257",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"1045","Lac.Plac.","Lactantius Placidus","Lactantius Placidus",,"3364",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y",
"1250","Nazar.","Nazarius","Nazarius",,"3746",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1521","Pub.-Vic","Publius Victor","Publius Victor",,"4513",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y",
"1760","Vib.","Vibius Sequester","Vibius Sequester",,"5278",,"Unknown","Unknown"," ",,,"CE 4","301",1,1,301,"1/1/301","0301-01-01","400","12/31/400","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"1221","Serv.","Maurus Servius Honoratus","Maurus Servius Honoratus",,"4772",,"Unknown","Unknown"," ",,,"CE 4-5","301",1,1,301,"1/1/301","0301-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,"CE 400","1/1/400","12/31/400",,,"Y","N"
"526","Coel.Sym.","Coelius Symphosius","Coelius Symphosius",,"1873",,"Unknown","Unknown"," ",,,"CE 4-5","301",1,1,301,"1/1/301","0301-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1775","Vinc.Lir.","Vincentius Lirensis","Vincentius Lirensis",,"5316",,"Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,"CE 434","1/1/434","12/31/434",,,"Y",
"523","Caelestin.","Coelestinus I","Coelestinus I",,"1255",,"Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,"CE 422-432","1/1/422","12/31/432",,,"Y","Y"
"525","Coel.-Sed.","Coelius Sedulius","Coelius Sedulius",,"1863",,"Unknown","Gallia meridionali or Hispania septentrionali"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,"c. CE 425-450","1/1/425","12/31/450","f",,"Y","Y"
"152","Agen.","Agennius Urbicus","Agennius Urbicus",,"268","Aggenus Urbicus ","Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t","?",,"1/1/",,,,,,,,"c. CE 400","1/1/400","12/31/400","f",,"Y","Y"
"178","Mac.","Ambrosius Theodosius Macrobius","Ambrosius Theodosius Macrobius",,"3513","Macrobius","Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,"c. CE 423",423,423,"f",,,,,,,"Y","Y"
"966","Ian.Nep.","Ianuarius Nepotianus","Ianuarius Nepotianus",,"3071",,"Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1021","Iul.S.","Iulius Seuerianus","Iulius Seuerianus",,"3250",,"Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"1159","Marcell.Mem.","Marcellus Memoralis","Marcellus Memoralis",,"3606",,"Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1211","Mar.Merc.","Marius Mercator","Marius Mercator",,"3586",,"Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1264","Nov.-Cath","Novatus Catholicus","Novatus Catholicus",,"3848",,"Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,,,,,,"Y",
"1438","Phoc.","Phocas","Phocas",,"4145",,"Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
