"bam_id","abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","start","end","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong","title","pid"
"1000","Isid(Ps).","Isidorus Hispalensis (Ps)",,,,,"CE 7","1/1/601","12/31/700",,,,,"Y",,,,
"1001","Itin.Hier.","Itinerarium Hierosolymitanumäó_x008f_",,,,,,,,,,,,,,,,
"1002","Iub.","Iuba",,,,,"CE 3","1/1/201","12/31/300",,,,,,,,,
"1003","Iub.II.","Iuba II",,,,,"BCE 1-CE 1","1/1/-100","12/31/100",,,,,,,,,
"1004","Pomer.","Iulianus Pomerius",,"Toledo, Spain","Toletum, Hispania Tarraconensis","266066","CE 5","1/1/401","12/31/500",,,,"Y","Y","39.856679999999997","-4.0244910000000003","Toletum","266066"
"1005","Iul.Tol.","Iulianus Toletanus","Julian of Toledo","Toledo, Spain","Toletum, Hispania","266066","CE 7","1/1/601","12/31/700","CE 642","CE 690",,,,"39.856679999999997","-4.0244910000000003","Toletum","266066"
"1006","Iul.Aqui.","Iulius Aquila","Iulius Aquila","Rome, Italy","Roma, Italia","423025","CE 2","1/1/101","12/31/200",,,"c. CE 193-198","N","N","41.891737499999998","12.4861685","Roma","423025"
"1007","Iul.Ath.","Iulius Atherianus",,,,,,,,,,,,,,,,
"1008","Iul.Exup.","Iulius Exuperantius",,,,,"CE 5","1/1/401","12/31/500",,,"fl.c.400","Y",,,,,
"1009","Hilarian.","Iulius Hilarianus",,"Unknown","Unknown"," ","CE 4","1/1/301","12/31/400",,,,"Y","Y",,,,
"101","Abd.","Abdias",,,,,,,,,,,"Y","Y",,,,
"1010","Iul.I.","Iulius I",,"Rome, Italy","Roma, Italia","423025","CE 4","1/1/301","12/31/400",,,,"Y","Y","41.891737499999998","12.4861685","Roma","423025"
"1011","Iul.I.(Ps).","Iulius I (Incertus)",,,,,,,,,,,,"Y",,,,
"1012","Mar.Iul.","Iulius Marathus",,,,,"BCE 1- CE 1","1/1/-100","12/31/100",,,,,,,,,
"1013","Modest.","Iulius Modestus",,,,,"CE 1","1/1/1","12/31/100",,,,"N","N",,,,
"1014","Mont.","Iulius Montanus",,"Rome, Italy","Roma, Italia","423025","CE 1","1/1/1","12/31/100",,,,"N","N","41.891737499999998","12.4861685","Roma","423025"
"1015","Iul.Obs.","Iulius Obsequens",,"Unknown","Unknown"," ","CE 4","1/1/301","12/31/400",,,,"Y","Y",,,,
"1016","Iul.P.","Iulius Paris",,"Unknown","Unknown"," ","CE 4","1/1/301","12/31/400",,,,"Y","N",,,,
"1017","Iul.Rom.","Iulius Romanus",,,,,"CE 3","1/1/201","12/31/300",,,,,,,,,
"1018","Iul.Ruf.","Iulius Rufinianus ",,,,,"CE 4","1/1/301","12/31/400",,,,,,,,,
"1019","Iul.Ruf(Ps.).","Iulius Rufinianus (Ps.)",,,,,,,,,,,,,,,,
"102","Ablab.","Ablabius ",,,,,"CE 4","1/1/301","12/31/400",,"CE 338",,,,,,,
"1020","Iul.Sat.","Iulius Saturninus",,,,,,,,,,,,,,,,
"1021","Iul.S.","Iulius Seuerianus",,"Unknown","Unknown"," ","CE 5","1/1/401","12/31/500",,,,"Y","N",,,,
"1022","Iul.Sev.","Iulius Severus",,,,,,,,,,,,,,,,
"1023","Iul.V.","Iulius Valerius Alexander Polemius",,"Unknown","Unknown"," ","CE 4","1/1/301","12/31/400",,,,"Y","N",,,,
"1024","Iul.Vic.","Iulius Victor",,,,,,,,,,,,,,,,
"1025","Iunil.","Iunilius Africanus",,"Istanbul, Turkey / North Africa","Constantinopolis, Thracia / Africa","520985 / 775","CE 6","1/1/501","12/31/600",,,"541–549","Y","Y",,,,
"1026","Maur. ","Iunius Mauricianus","Mauricianus","Rome, Italy","Roma, Italia","423025","CE 2","1/1/101","12/31/200",,,"c. CE 138-161","N","N","41.891737499999998","12.4861685","Roma","423025"
"1027","Iust.","Iustinianus I Augustus",,"Istanbul, Turkey","Constantinopolis, Thracia","520985","CE 6","1/1/501","12/31/600",,,,"Y","Y","41.005901999999999","28.973881500000001","Byzantium","520985"
"1028","Ius.","Iustinus",,"Unknown","Unknown"," ","CE 3","1/1/201","12/31/300",,,,"Y","N",,,,
