"abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong"
"Mac.","Ambrosius Theodosius Macrobius","Macrobius","Unknown","Unknown"," ","CE 5",,"c. CE 423",,"Y","Y",,
"Lucul.","Luculentus",,"Unknown","Unknown"," ",,,,,"Y","Y",,
"Archidiaconus.","Archidiaconus quidam",,"Unknown","Unknown"," ","?","?",,"?",,"Y",,
"Anton.-Discip.","Antonius discipulus Simeonis Stylitae",,"Unknown","Unknown"," ","CE 6?",,,,,"Y",,
"Asc.","Anonymous",,"Unknown","Unknown"," ","CE 4",,,,"Y","N",,
"Amp.","Lucius Ampelius",,"Unknown","Unknown"," ","CE 3-4 ",,,,"Y","N",,
"Candid.","Candidus Arianus",,"Unknown","Unknown"," ","CE 4",,,"350-c. CE 372","Y","Y",,
"Lon.","Lonegisilus Buciacensis",,"Unknown","Unknown"," ",,,,,,"Y",,
"Zac.-Chris","Zacchaeus Christianus",,"Unknown","Unknown"," ","CE 5",,,,"Y",,,
"Marcell.Mem.","Marcellus Memoralis",,"Unknown","Unknown"," ","CE 5",,,,"Y","Y",,
"Leod.","Leodevaldus",,"Unknown","Unknown"," ",,,,,,"Y",,
"Vinc.Lir.","Vincentius Lirensis",,"Unknown","Unknown"," ","CE 5",,,"CE 434","Y",,,
"Marc.Cass.","Marcus Cassinensis",,"Unknown","Unknown"," ","CE 7",,,,"Y","Y",,
"Lac.Plac.","Lactantius Placidus",,"Unknown","Unknown"," ","CE 4",,,,"Y",,,
"Iustin.","Marcus Iunianus Iustinus",,"Unknown","Unknown"," ","CE 3",,,,"Y","N",,
"Ius.","Iustinus",,"Unknown","Unknown"," ","CE 3",,,,"Y","N",,
"Caelestin.","Coelestinus I",,"Unknown","Unknown"," ","CE 5",,,"CE 422-432","Y","Y",,
"Vig.Diac.","Vigilius Diaconus",,"Unknown","Unknown"," ","CE 6",,,,"Y",,,
"Vitruv.","Marcus Vitruvius Pollio","Vitruvius","Unknown","Unknown"," ","BCE 1","c. BCE 80","c. BCE 20",,"N","N",,
"Mar.Merc.","Marius Mercator",,"Unknown","Unknown"," ","CE 5",,,,"Y","Y",,
"Coel.-Sed.","Coelius Sedulius",,"Unknown","Gallia meridionali or Hispania septentrionali"," ","CE 5",,,"c. CE 425-450","Y","Y",,
"Coel.Sym.","Coelius Symphosius",,"Unknown","Unknown"," ","CE 4-5",,,,"Y","Y",,
"Iul.V.","Iulius Valerius Alexander Polemius",,"Unknown","Unknown"," ","CE 4",,,,"Y","N",,
"Vib.","Vibius Sequester",,"Unknown","Unknown"," ","CE 4",,,,"Y","N",,
"Iul.S.","Iulius Seuerianus",,"Unknown","Unknown"," ","CE 5",,,,"Y","N",,
"Iul.P.","Iulius Paris",,"Unknown","Unknown"," ","CE 4",,,,"Y","N",,
"Iul.Obs.","Iulius Obsequens",,"Unknown","Unknown"," ","CE 4",,,,"Y","Y",,
"Hilarian.","Iulius Hilarianus",,"Unknown","Unknown"," ","CE 4",,,,"Y","Y",,
"Turc.Ruf.Ast","Turcius Rufus Asterius",,"Unknown","Unknown"," ","CE 5",,,,"Y","Y",,
"Maur.","Maurini",,"Unknown","Unknown"," ",,,,,,"Y",,
"Trif.","Trifolius Presbyter",,"Unknown","Unknown"," ","CE 6",,,"CE 520","Y","Y",,
"Aqui.","Aquila Romanus",,"Unknown","Unknown"," ","CE 3","?",,"a. CE 250","Y","N",,
"Serv.","Maurus Servius Honoratus",,"Unknown","Unknown"," ","CE 4-5",,,"CE 400","Y","N",,
"Ioan.M.","Iohannes Moschus",,"Unknown","Unknown"," ","CE 6","CE 550","CE 619",,"Y","Y",,
"Ioan.M.","Ioannes Moschus",,"Unknown","Unknown"," ","CE 6","CE 550","CE 619",,"Y","Y",,
"Ian.Nep.","Ianuarius Nepotianus",,"Unknown","Unknown"," ","CE 5",,,,"Y","Y",,
"Steph. Abb.","Stephanus Abbas",,"Unknown","Unknown"," ","CE 6",,,,"Y","Y",,
"Soph.","Sophronius Ierosolymitanus; Paulus diaconus ",,"Unknown","Unknown"," ",,,,,,"Y",,
"Mon. Ben.","Monachi Benedictini Solesmenses",,"Unknown","Unknown"," ","CE 6",,,,"Y","Y",,
"Nazar.","Nazarius",,"Unknown","Unknown"," ","CE 4",,,,"Y","Y",,
"Siseb.","Sisebutus, rex Visigothorum",,"Ruled over part of Portugal, Spain and S France","Hispania, Septimania and Galicia"," ","CE 7",,,"CE 612-620",,,,
"Siseb.","Sisebutus","Sisebut","Ruled over part of Portugal, Spain and S France","Hispania, Septimania and Galicia"," ","CE 7",,,"CE 612-620",,"Y",,
"Nov.-Cath","Novatus Catholicus",,"Unknown","Unknown"," ","CE 5",,,,"Y",,,
"Ant.Mus.","Antonius Musa",,"Unknown","Unknown"," ","BCE 1","?",,"BCE 23 (?CERL)",,"N",,
"Anon.Val.","Anonymus Valesianus",,"Unknown","Unknown"," ","CE 4",,,,"Y","N",,
"DeBel.Caes.Pomp.","Anonymous",,"Unknown","Unknown"," ",,,,,"?","N",,
"Car.Pass.Dom.","Anonymous",,"France","Gallus"," ","CE 5-6",,,,,"Y",,
"Lib.DePraenom.","Anonymous",,"Unknown","Unknown"," ",,,,,,,,
"Dag.I.","Dagobertus I Francorum",,"Approximately Belgium, S. Netherlands, W Germany, and NE France","Austrasia"," ","CE 7",,"c. CE 639",,,"Y",,
"Epist.Alex.","Anonymous",,"Unknown","Unknown"," ",,,,,"?","N",,
"Aul.Gel.","Aulus Gellius",,"Unknown","Unknown"," ","CE 2","CE 123","c. CE 165",,,,,
"Hist.Apoll.A.","Anonymous",,"Unknown","Unknown"," ","CE 5-6",,,,"Y","N",,
"Paul. et Steph.","Paulus Abbas et Stephanus Abbas",,"Unknown","Unknown"," ",,,,,,,,
"Solin.","Gaius Iulius Solinus",,"Unknown","Unknown"," ","CE 3",,,,"Y","N",,
"Agen.","Agennius Urbicus","Aggenus Urbicus ","Unknown","Unknown"," ","CE 5","?",,"c. CE 400","Y","Y",,
"Ps.Agen.","Agennius Vrbicus (Ps.)","Agennius Vrbicus (Ps.)","Unknown","Unknown"," ","CE 6",,,"c. CE 400","Y","Y",,
