pub_date	title	venue	excerpt	citation	url_slug	paper_url
2022	Landscapes in Motion: Cartographies of Connectivity and the Place of Physical Geography in the Environmental and Spatial Humanities 	Routledge Handbook of the Digital Environmental Humanities 	In this paper we argue for leveraging geospatial and environmental data and systems at the intersection of spatial, digital, and environmental approaches, with the goal of creating an open, accessible digital ecosystem that enables the discovery, use, and publication of digital environmental humanities data. We survey current innovations from the long-term and large-scale history of China, the ancient Mediterranean, and the globe, which collectively point toward a vision for a networked and cloud-based graph of historical environmental data.	 Horne, Ryan and Ruth Mostern. “Landscapes in Motion: Cartographies of Connectivity and the Place of Physical Geography in the Environmental and Spatial Humanities” In <i> Routledge Handbook of the Digital Environmental Humanities</i>, ed. Luke Bergmann, Arlene Crampsie, Deborah Dixon, Steven Hartman, Robert Legg, Francis Ludlow, and Charlie Travis. Routledge.	landscapes-in-motion	
2021	 Linked Open Data for the Ancient Mediterranean: Structures, Practices, Prospects 	ISAW Papers 	This collection presents case studies written by principal investigators of, or contributors to, various digital projects related to the ancient Mediterranean world which use Linked Open Data (LOD) or are informed by its principles.	Bond, Sarah E., Paul C. Dilley, and Ryan Horne, eds. <i>Linked Open Data for the Ancient Mediterranean: Structures, Practices, Prospects</i>. Vol. 20. ISAW Papers. Institute for the Study of the Ancient World, 2021. 	isaw-20	http://hdl.handle.net/2333.1/gqnk9kz2. 
2020	Aeolian Alexanders: Economic, Material, and Social Networks in Antiquity	GitHub	NEH funded project that reimagines die studies as digital publications which illustrate economic and social networks in geographic space	"Horne, Ryan. (220). ""Aeolian Alexanders."""	aeolian-alexanders	https://github.com/Aeolian-Alexanders
2021	Digital Approaches to the ‘Big Ancient Mediterranean.’ 	Access and Control in Digital Humanities 	"This article serves as an introduction to BAM and the larger ancient world
LOD ecosystem. It begins with an overview of LOD principles and their use in
ancient studies. It then discusses the development of the BAM project and some
of its outputs, and concludes with a discussion of BAM’s future development and
role within the rapidly developing community of ancient digital scholarship."	"Horne, Ryan. “Digital Approaches to the ‘Big Ancient Mediterranean.’” In <i>Access and Control in Digital Humanities</i>, edited by Shane Hawkins, 78–95. Routledge, 2021.

"	digital-approaches-to-bam	https://www.taylorfrancis.com/chapters/edit/10.4324/9780429259616-7/digital-approaches-big-ancient-mediterranean-ryan-horne
2021	Introducing the Semantic Web and Linked Open Data	ISAW Papers 	This introduction is a series of introductory case studies written by principal investigators of, or contributors to, various digital projects related to the ancient Mediterranean world which use linked open data. Some of the chapters are based on presentations given at the “Linking the Big Ancient Mediterranean” conference at the University of Iowa in summer 2016. As a group, the contributions cover a wide variety of geographic regions and forms of evidence, and discuss data structures as they relate to a number of sub-disciplines within the study of the ancient world.	Bond, Sarah E., Paul C. Dilley, and Ryan Horne. “Introducing the Semantic Web and Linked Open Data.” In <i>Linked Open Data for the Ancient Mediterranean: Structures, Practices, Prospects</i>, edited by Sarah E. Bond, Paul C. Dilley, and Ryan Horne, Vol. 20. ISAW Papers. Institute for the Study of the Ancient World, 2021.	isaw-20-intro	 http://hdl.handle.net/2333.1/c2fqzh3d. 
2021	Applying Linked Open Data Standards 	ISAW Papers 	This chapter serves as an introduction to the essential concepts of Linked Open Data (LOD). Key to many digital humanities initiatives and research, LOD is a collaborative endeavor built upon open access principles; the discovery, reuse, and expansion of a vast array of data; and new avenues of review and publication which can differ greatly from traditional scholarly methodologies. LOD has already revolutionized the field of classical studies, with an ever-growing network of interlinked projects that offers exciting new opportunities for exploring spatial, textual, and material culture. In order for a project to take full advantage of the LOD ecosystem, it is necessary to align data with other LOD participants. This chapter provides practical examples and best practices for preparing project data, reconciling that data with other LOD initiatives, and publishing data as a LOD resource. It discusses new tools and techniques that make this process accessible to a wide audience of scholars and students, and provides a useful reference work for the other chapters in this collection.	Horne, Ryan. “Applying Linked Open Data Standards.” In <i>Linked Open Data for the Ancient Mediterranean: Structures, Practices, Prospects</i>, edited by Sarah E. Bond, Paul C. Dilley, and Ryan Horne, Vol. 20. ISAW Papers. Institute for the Study of the Ancient World, 2021. 	isaw-20-applying-lod	http://hdl.handle.net/2333.1/79cnpgk2. 
2021	Tracking Yu: Developing a Data System for Yellow River History 	Yellow River: A Natural and Unnatural History 	An overview of the use of digital humanities techniques and resources used in the creation of a study of the Yellow River	Mostern, Ruth, and Ryan Horne. “Appendix: Tracking Yu: Developing a Data System for Yellow River History.” In Mostern, Ruth. <i>The Yellow River: A Natural and Unnatural History</i>, 247-66. Yale University Press, 2021. 	tracking-yu	https://doi.org/10.2307/j.ctv1vbd1d8.12. 
2021	Maps and infographics in	Yellow River: A Natural and Unnatural History 		Maps and infographics in Mostern, Ruth. <i>The Yellow River: A Natural and Unnatural History</i>, 247-66. Yale University Press, 2021. 	Map-info-yu	https://doi.org/10.2307/j.ctv1vbd1d8.12. 
2021	Digital Tools and Ancient Empires: Using Network Analysis and Geographic Information Systems to Study Imperial Networks in Hellenistic Anatolia	Journal of World History 		"Horne, Ryan. “Digital Tools and Ancient Empires: Using Network Analysis and Geographic Information Systems to Study Imperial Networks in Hellenistic Anatolia.” Journal of World History 32, no. 2 (2021): 321–43.
"	digital-tools-ancient-empires	https://muse.jhu.edu/article/794333
2020	Mapping Power: Using HGIS and Linked Open Data to Study Ancient Greek Garrison Communities 	Historical Geography, GIScience and Textual Analysis: Landscapes of Time and Place 	This article illustrates how new advances in HGIS and semantic web technologies has created a robust and expanding academic community and the development of best practices around the concept of sharing geospatial humanities data. After discussing the development of the ancient world LOD ecosystem, this article addresses how these resources were used to identify, locate, and study all of the garrison communities and commanders comprised the institution of the phrourarchia until the second-century CE. I discuss the creation of the first map to show all the phrourarchia, and how that task reveals that, although the institution was spread across the Greek world, the specific office of the phrourarchos, (plural phrourarchoi), or garrison commander, was primarily located in Egypt and south east Asia Minor. Mostly known through inscriptions, the presence of phrourarchoi signaled a complex interaction between imperial powers and local communities that later Greek and Roman historians often minimized or ignored. 	"Horne, Ryan. “Mapping Power: Using HGIS and Linked Open Data to Study Ancient Greek Garrison Communities.” In<i>Historical Geography, GIScience and Textual Analysis: Landscapes of Time and Place</i>, edited by Charles Travis, Francis Ludlow, and Ferenc Gyuris, 213. Springer, 2020.
"	mapping-power	https://link.springer.com/chapter/10.1007/978-3-030-37569-0_13
